PlayerID,Country,Age,Gender,VIP_Level,Registration_Date,Deposit,Withdrawal,Total_Bets,Revenue
1,India,31,Male,Silver,2024-03-29,433,247,751,186
2,UK,60,Female,Gold,2026-04-15,4930,4326,492,604
3,India,56,Female,Silver,2024-09-21,1978,1131,654,847
4,Brazil,48,Male,Bronze,2024-10-26,894,463,711,431
5,Brazil,40,Female,Platinum,2025-10-17,4907,2729,704,2178
6,Malta,24,Female,Platinum,2023-10-10,2321,1839,246,482
7,Malta,29,Female,Platinum,2025-08-31,3700,3158,264,542
8,UK,23,Female,Platinum,2025-07-29,293,168,470,125
9,Brazil,35,Male,Bronze,2024-01-05,1139,273,56,866
10,Australia,28,Female,Bronze,2025-05-06,4606,3130,354,1476
11,India,23,Male,Platinum,2024-08-23,2333,446,378,1887
12,Australia,42,Female,Gold,2025-05-16,4408,789,720,3619
13,Canada,31,Female,Gold,2024-11-27,2791,1025,231,1766
14,Germany,55,Male,Gold,2025-10-27,4930,1375,726,3555
15,UK,34,Female,Bronze,2025-03-20,253,110,521,143
16,India,60,Male,Bronze,2024-08-14,1235,1007,195,228
17,Brazil,23,Male,Gold,2025-07-07,287,275,473,12
18,Canada,55,Female,Silver,2025-03-24,3754,2568,586,1186
19,India,22,Female,Gold,2026-03-13,2574,966,234,1608
20,India,47,Female,Silver,2025-10-29,2865,948,536,1917
21,Malta,47,Male,Silver,2025-09-24,3291,407,345,2884
22,Canada,44,Female,Silver,2024-07-03,2444,2339,106,105
23,Malta,39,Female,Silver,2024-10-16,1808,1279,78,529
24,Australia,59,Male,Platinum,2026-04-17,4497,3258,612,1239
25,Spain,31,Male,Platinum,2026-06-30,301,151,87,150
26,Canada,44,Female,Bronze,2026-05-02,4578,2569,39,2009
27,Sweden,24,Male,Bronze,2025-06-13,3776,2908,390,868
28,UK,23,Female,Bronze,2023-09-26,675,549,212,126
29,Australia,21,Male,Silver,2023-12-28,3089,1788,193,1301
30,India,46,Female,Bronze,2025-08-30,4941,1967,759,2974
31,India,18,Female,Gold,2025-05-20,3730,476,515,3254
32,India,32,Female,Bronze,2023-11-12,1703,151,586,1552
33,Sweden,18,Male,Bronze,2024-09-04,3099,1641,351,1458
34,Malta,33,Male,Platinum,2026-06-25,479,108,496,371
